package_name,weekly_downloads
odoo12-addons-oca-calendar,0
pts1-prediction-tool,0
run-timer,0
jschema,2
tdameritrade-client,2
barl,2
spsuite,0
pytest-log,8
dig_indicators,0
random_color,0
ibotta-uplift,0
fastapi-healthchecks,222
apertium-apy,2
easy-widgets,0
django-rest-typed-models,1
nexaas-id-client,2
ftw.copymovepatches,8
barman,1868
morp,102
gravbody,0
lernmatrix-learner,2
abstract,894
pts-cli,23
openSAP32,0
c2.patch.filenamenormalizer,0
odoo12-addons-oca-connector-cmis,0
ibott-browser-manager,6
fastapi-healthcheck-sqlalchemy,249
morph,3425
leroque-bagd1k,2
odoo12-addons-oca-connector-magento,1
siambomber,11
easy-wrap,5
picoslave,4
c2.patch.plone3mail,0
randomcsv,2
pyJHTDB,26
sptaxi_tracker,3
morph3dhst,3
vamb,48
ftw.dashboard.portlets.recentlymodified,2
SPTE,0
barnes-hut-tsne,1
opensartoolkit,10
pytest-loop,2163
c2py,1
clubsandwich,1
js.classy,0
picot,0
djangorestversioning,0
leruli,1
gravilab,9
barneySA,0
pts-hipot-tester,7
fastapi-idempotent,160
easyxl,5
apesmit-py2,0
clue,0
django-results,0
easyyaml,12
digitalarchive,5
nexis-uni-parser,3
toredis-fork,352
te2-sdk,0
fui.memberlist,3
mosaik.Scenario-Tools,560
siembra,0
level4,3
dimdim-cli,0
DjangoS3Browser,3
fuji,0
js.lodash,0
ebr-connector,1
fastapix,3
jsl-pathfinder,47
rutchile,2
random-topic,233
worldcup-data-wrapper,1
pykaging,0
fuku,0
apifactory,36
pierpy,0
spytec02,2
baseflow,151
publish-event-sns,67521
pykagskangbolu,0
pierskarsenbarg-pulumi-sdm,96
cmaes,359463
leveldir,18
random-ua,1
pytest-pyppeteer,40
odoo12-addon-stock-picking-show-return,2
worldguess,0
fasta-reader,73
apifiny,1
js.mediaelement,0
basefs,0
ruterstop,0
VarInstaller,2
leveled-hotbackup-s3-sync,8
ctmatching,14
greeneye-monitor,675
odoo12-addon-stock-picking-tier-validation,3
apifiny-futures,3
sierraecg,9
JsMeetsStarlette,0
teachat,2
levelpy,2
WorldMill,0
randomus,4
jsmmy01323,0
fulford.data,0
odoo12-addon-stock-production-lot-multi-company,0
basehangul,0
nfd2nfc,0
access-face-vision,5
pies,4625
teacher,8
django-s3-policy-sync,140
pykaldi,37
publishnewsextratorp,0
fulfyld,0
dime-pytorch,0
cachecow,1
NFDI,0
icesat2-toolkit,3
